searchSpecies,lat_max,lat_min,lat_range,n,dd
Hedera helix,-35.103397,-46.901886,11.798488999999996,2548,1.95273154436435
Hedychium gardnerianum,-34.741388,-46.898188,12.156799999999997,1620,2.143175860666998
Helichrysum petiolare,-34.9,-45.907589,11.007589000000003,355,1.231432896737219
Helosciadium nodiflorum,-35.258861,-46.589444,11.330582999999997,596,1.857579194279542
Hieracium levicaule,-39.3474413,-45.900833,6.553391699999999,39,1.1022286195947448
Holcus lanatus,-34.4457,-47.145556,12.699855999999997,3696,3.0836288571190984
Homalanthus populifolius,-34.771572,-43.807245,9.035673000000003,307,3.2027938377426532
Humulus lupulus,-36.898634,-46.573288,9.674653999999997,176,1.410402252329337
Hypericum androsaemum,-35.015234,-46.906715,11.891480999999999,1735,3.5006263803932978
Hypericum perforatum,-34.9821,-46.401712,11.419612,878,2.5226892999914754
Ilex aquifolium,-35.723909,-46.908939,11.185029999999998,1396,3.117893325377154
Impatiens glandulifera,-36.900784,-46.900111,9.999327000000001,295,0.47475572789215537
Iris foetidissima,-35.2481151,-46.560272,11.312156899999998,1181,1.7717504774864437
Iris pseudacorus,-35.278184,-46.888828,11.610643999999994,557,1.873655743184915
Jacobaea vulgaris,-34.989586,-47.000031,12.010444999999997,2722,2.4894018415773957
Juglans ailantifolia,-35.213762,-43.6593,8.445537999999999,196,2.511564671188953
Juncus acutus,-35.000856,-43.397658,8.396802000000001,378,2.33656743849037
Juncus articulatus,-34.4457,-46.8956636,12.449963599999997,1326,2.40678790182026
Juncus bulbosus,-34.641777,-46.982149,12.340372000000002,329,1.9095849100116864
Juncus squarrosus,-40.900827,-47.168702,6.267875000000004,297,2.1490094887701328
Kennedia rubicunda,-35.114155,-41.2841322,6.169977200000005,37,1.101916997247502
Lantana camara,-34.748463,-43.644066,8.895603000000001,253,2.8903495884427906
Larix decidua,-37.208056,-46.19569,8.987634,251,2.5945347710150433
Laurus nobilis,-34.994056,-46.880432,11.886375999999998,465,2.46107479277867
Leptospermum laevigatum,-35.916667,-43.578713,7.662046000000004,24,2.291696365084278
Leucanthemum vulgare,-34.414275,-46.898395,12.484119999999997,1233,2.3872819073226874
Leycesteria formosa,-35.177405,-46.950562,11.773156999999998,2713,2.9874717931870403
Ligustrum lucidum,-35.08705,-46.539606,11.452556000000001,1246,3.2260717133537997
Ligustrum sinense,-34.991,-45.8431,10.8521,1166,3.1653278881487656
Ligustrum vulgare,-35.389722,-46.604832,11.215110000000003,127,3.168848776260444
Lilium formosanum,-34.735126,-43.71534,8.980213999999997,528,1.027704506588406
Lolium arundinaceum,-35.116667,-46.625813,11.509146000000001,1442,3.008676592079165
Lolium perenne,-35.227287,-46.926715,11.699428000000005,712,2.8248570918693052
Lomatia fraseri,-41.1561,-44.41099,3.254889999999996,110,1.9042891074614008
Lonicera japonica,-35.100861,-46.89615,11.795288999999997,2619,1.7892467961416334
Lophospermum erubescens,-34.518145,-39.079451,4.561306000000002,26,1.3925026623345629
Ludwigia peploides,-34.900464,-43.432962,8.532498000000004,269,2.5292918024384097
Luma apiculata,-36.7342,-46.903207,10.169007,76,3.4210443135486273
Lupinus arboreus,-34.424958,-47.048889,12.623931000000006,3077,1.2644822764866648
Lupinus polyphyllus,-36.328235,-46.900111,10.571876000000003,957,0.22139864387881547
Lycium ferocissimum,-35.148047,-46.640556,11.492508999999998,1024,3.147674291071904
Lycopus europaeus,-34.476819,-46.026241,11.549422,456,2.314330788619831
Lythrum salicaria,-36.409397,-46.391237,9.981839999999998,281,2.7609706001600327
Maytenus boaria,-36.847511,-46.443325,9.595814000000004,612,3.0437895191246263
Medicago lupulina,-34.436782,-46.422278,11.985495999999998,473,1.812753941685045
Melianthus major,-34.733333,-46.899578,12.166244999999996,417,2.847797168525523
Miscanthus nepalensis,-35.3,-42.721711,7.421711000000002,291,1.8099093330989495
Moraea flaccida,-36.156479,-43.529047,7.372568000000001,39,2.045439702896512
Myoporum insulare,-34.975333,-45.821588,10.846255,136,1.9485858452456877
Myricaria germanica,-41.951972,-44.374248,2.4222760000000036,81,1.967984734847129
Nardus stricta,-39.362043,-46.543458,7.181415000000001,45,2.8226384223354475
Nassella neesiana,-36.861,-43.589,6.7280000000000015,57,2.7875254209810136
Nassella tenuissima,-35.183333,-46.143222,10.959889000000004,85,0.5516816984275638
Nassella trichotoma,-34.956667,-45.2098187,10.253151699999997,538,2.747544590754471
Nymphaea mexicana,-35.033333,-38.504791,3.4714579999999984,31,1.6018522434856648
Ochna serrulata,-34.993719,-43.52959,8.535871,68,2.9893094702989793
Olea europaea,-35.256722,-43.661443,8.404720999999995,143,3.0373213241343473
Opuntia monacantha,-34.981499,-43.826097,8.844597999999998,83,2.7135456659902717
Osteospermum moniliferum,-34.42473,-45.894711,11.469981000000004,1492,2.879046366356382
Paraserianthes lophantha,-34.4118,-46.879319,12.467519000000003,1222,1.37112120860654
Paspalum distichum,-34.755844,-43.640744,8.884899999999995,754,2.68769710494382
Paspalum vaginatum,-34.4059,-41.297338,6.891438000000001,155,2.776997028065259
Passiflora caerulea,-34.755,-45.275465,10.520464999999994,197,2.0423969218548885
Passiflora edulis,-34.444564,-41.275491,6.830927000000003,150,2.029669185326607
Passiflora mixta,-35.224722,-44.396409,9.171686999999999,122,2.821526912099542
Passiflora pinnatistipula,-36.833333,-45.851703,9.018369999999997,91,2.064385379621995
Passiflora tarminiana,-34.988467,-45.882733,10.894266000000002,310,2.821526912099542
Passiflora tripartita,-35.616222,-46.898495,11.282272999999996,761,3.001594377153217
Persicaria capitata,-34.833333,-45.902479,11.069145999999996,346,0.5197159913171463
Phalaris arundinacea,-35.002833,-46.586667,11.583833999999996,175,3.092025034779594
Phoenix canariensis,-34.98791,-46.417871,11.429960999999999,1637,2.457336942140149
Phragmites karka,-36.863209,-40.973745,4.110536000000003,134,3.373104966633169
Phytolacca icosandra,-34.526086,-43.867782,9.341695999999999,1396,2.718212406359322
Pilosella officinarum,-38.131214,-46.866496,8.735281999999998,2581,0.8847248054700128
Pilosella piloselloides,-38.288858,-45.9573,7.668441999999999,1257,1.139988558564491
Pinus contorta,-35.621153,-46.287925,10.666772000000002,673,2.8220891060914095
Pinus halepensis,-36.848198,-46.162455,9.314257000000005,34,2.529457769321086
Pinus monticola,-37.904495,-43.593716,5.689221000000003,38,2.651119656960317
Pinus mugo,-37.209295,-46.221,9.011705,131,3.617423175877078
Pinus muricata,-35.498175,-46.480721,10.982546,174,2.6134269428875614
Pinus nigra,-36.248187,-46.343,10.094813000000002,368,2.693318367487074
Pinus patula,-35.679017,-46.187901,10.508883999999995,146,2.678430451228208
Pinus pinaster,-35.631321,-46.584399,10.953077999999998,355,2.5773558870564113
Pinus ponderosa,-36.916667,-46.433427,9.516760000000005,182,2.673280590566752
Pinus radiata,-34.397758,-46.900715,12.502956999999995,2876,2.6468820266063497
Pinus strobus,-36.924667,-45.458,8.533332999999999,125,3.9066334899675903
Pinus sylvestris,-36.868944,-45.886038,9.017094,155,3.936893085925324
Pinus thunbergii,-35.791136,-46.162455,10.371319,34,2.538792927244099
Pinus uncinata,-36.958361,-46.212,9.253639000000007,47,2.3981968748717977
Pittosporum undulatum,-34.742214,-36.966667,2.224453000000004,24,3.1580530847366775
