model_number,species,order,family,ds,log10mdd_family,log10mdd_order,log10mdd,log10mdd_best,,,,,,,,,,,,,,,,,,
2,Juncus articulatus,Poales,Juncaceae,wind.none,-0.041119036,0.343085668,0.204669748,-0.041119036,,,,,,,,,,,,,,,,,,
2,Juncus bulbosus,Poales,Juncaceae,animal,1.90958491,2.293789613,1.887404797,1.90958491,,,,,,,,,,,,,,,,,,
2,Juncus squarrosus,Poales,Juncaceae,animal,2.149009489,2.533214192,2.231418074,2.149009489,,,,,,,,,,,,,,,,,,
2,Lycopus europaeus,Lamiales,Lamiaceae,animal,2.314330789,2.367868872,2.358494636,2.314330789,,,,,,,,,,,,,,,,,,
2,Laurus nobilis,Laurales,Lauraceae,animal,NA,NA,2.461074793,2.461074793,,,,,,,,,,,,,,,,,,
2,Utricularia gibba,Lamiales,Lentibulariaceae,animal,NA,2.340913151,2.296956796,2.340913151,,,,,,,,,,,,,,,,,,
2,Lilium formosanum,Liliales,Liliaceae,wind.special,NA,NA,1.027704507,1.027704507,,,,,,,,,,,,,,,,,,
2,Lythrum salicaria,Myrtales,Lythraceae,animal,2.7609706,2.819333544,2.557664835,2.7609706,,,,,,,,,,,,,,,,,,
2,Melianthus major,Geraniales,Melianthaceae,wind.special,NA,1.674348178,1.492664374,1.674348178,,,,,,,,,,,,,,,,,,
2,Melianthus major,Geraniales,Melianthaceae,animal,NA,2.847797169,2.514284552,2.847797169,,,,,,,,,,,,,,,,,,
2,Ficus macrophylla,Rosales,Moraceae,animal,NA,3.611653362,3.898786915,3.611653362,,,,,,,,,,,,,,,,,,
2,Eucalyptus delegatensis,Myrtales,Myrtaceae,wind.none,NA,1.276431977,1.146717329,1.276431977,,,,,,,,,,,,,,,,,,
2,Leptospermum laevigatum,Myrtales,Myrtaceae,wind.special,NA,2.291696365,1.947793781,2.291696365,,,,,,,,,,,,,,,,,,
2,Luma apiculata,Myrtales,Myrtaceae,animal,NA,3.421044314,3.09527651,3.421044314,,,,,,,,,,,,,,,,,,
2,Psidium guajava,Myrtales,Myrtaceae,animal,NA,3.30208672,2.75533919,3.30208672,,,,,,,,,,,,,,,,,,
2,Syzygium australe,Myrtales,Myrtaceae,animal,NA,3.304102511,2.782858281,3.304102511,,,,,,,,,,,,,,,,,,
2,Syzygium smithii,Myrtales,Myrtaceae,animal,NA,3.302811011,2.946935488,3.302811011,,,,,,,,,,,,,,,,,,
2,Ugni molinae,Myrtales,Myrtaceae,animal,NA,3.485978855,2.997831424,3.485978855,,,,,,,,,,,,,,,,,,
2,Ochna serrulata,Malpighiales,Ochnaceae,animal,NA,2.98930947,2.54348304,2.98930947,,,,,,,,,,,,,,,,,,
2,Fraxinus excelsior,Lamiales,Oleaceae,wind.special,2.163460931,2.051445007,2.249934591,2.163460931,,,,,,,,,,,,,,,,,,
2,Fraxinus excelsior,Lamiales,Oleaceae,animal,3.336909922,3.224893998,3.27155477,3.336909922,,,,,,,,,,,,,,,,,,
2,Ligustrum lucidum,Lamiales,Oleaceae,animal,3.226071713,3.11405579,2.940269348,3.226071713,,,,,,,,,,,,,,,,,,
2,Ligustrum sinense,Lamiales,Oleaceae,animal,3.165327888,3.053311965,2.84315289,3.165327888,,,,,,,,,,,,,,,,,,
2,Ligustrum vulgare,Lamiales,Oleaceae,animal,3.168848776,3.056832853,2.847955478,3.168848776,,,,,,,,,,,,,,,,,,
2,Olea europaea,Lamiales,Oleaceae,animal,3.037321324,2.925305401,2.675470709,3.037321324,,,,,,,,,,,,,,,,,,
2,Epilobium hirsutum,Myrtales,Onagraceae,wind.special,2.312807854,1.733933083,1.670405481,2.312807854,,,,,,,,,,,,,,,,,,
2,Epilobium hirsutum,Myrtales,Onagraceae,animal,3.486256845,2.907382073,2.69202566,3.486256845,,,,,,,,,,,,,,,,,,
2,Glaucium flavum,Ranunculales,Papaveraceae,ballistic,0.769656398,0.626601737,0.452906487,0.769656398,,,,,,,,,,,,,,,,,,
