searchSpecies,lat_max,lat_min,lat_range,n,dd
Polygala myrtifolia,-34.738179,-45.905137,11.166958000000001,210,1.898120437
Pomaderris aspera,-36.6,-44.41052,7.810519999999997,101,2.110708831
Populus alba,-34.500478,-46.415604,11.915126,297,1.561499271
Potamogeton crispus,-34.475833,-46.594752,12.118918999999998,945,1.68240575
Prunus avium,-35.406159,-46.561725,11.155566,210,2.736816903
Prunus campanulata,-35.184875,-43.532793,8.347918,217,2.740763189
Prunus domestica,-35.21893,-46.561162,11.342232000000003,105,2.47782043
Prunus laurocerasus,-35.211439,-46.896696,11.685257,516,2.682811202
Prunus lusitanica,-35.137527,-46.539332,11.401805000000003,151,2.803097019
Prunus serotina,-35.116667,-43.662029,8.545361999999997,38,2.854974206
Prunus serrulata,-35.405335,-46.553006,11.147671000000003,272,2.861365854
Pseudotsuga menziesii,-35.3886,-46.6327,11.244100000000003,1700,2.812209563
Psidium cattleianum,-34.740841,-41.273098,6.532256999999994,87,3.448557804
Psidium guajava,-35.116667,-37.971273,2.854605999999997,6,3.30208672
Pueraria montana,-36.099416,-37.655738,1.5563220000000015,14,1.991466349
Pultenaea daphnoides,-34.807925,-36.934,2.126075,16,1.906655046
Pyracantha angustifolia,-35.245278,-44.609703,9.364425000000004,63,2.605199995
Quercus robur,-36.1417,-46.428695,10.286994999999997,337,2.630782868
Reynoutria japonica,-36.238056,-45.86493,9.626874,128,1.402385857
Rhamnus alaternus,-35.211517,-45.719388,10.507871000000002,322,3.044632828
Rhaphiolepis bibas,-34.741696,-43.656462,8.914766,635,2.456961055
Rhaphiolepis umbellata,-35.112537,-43.558895,8.446357999999996,154,1.896532165
Rhododendron ponticum,-36.9,-46.450395,9.550395000000002,60,1.061569702
Ribes sanguineum,-39.546356,-46.900028,7.353671999999996,436,2.910701742
Ribes uva-crispa,-38.278039,-46.562203,8.284163999999997,200,2.744261041
Ricinus communis,-34.814725,-46.603543,11.788818,228,2.903989567
Robinia pseudoacacia,-35.035085,-45.890968,10.855882999999999,256,0.83487557
Roldana petasitis,-34.816667,-43.81428,8.997612999999994,294,1.951462428
Rosa rubiginosa,-35.284622,-46.048455,10.763832999999998,1275,2.753032655
Rubus armeniacus,-35.422315,-44.416645,8.994330000000005,27,1.864497897
Rubus cardiophyllus,-38.05229,-45.4135,7.36121,16,1.867784884
Rubus cissburiensis,-36.85,-45.8,8.949999999999996,80,1.879051769
Rubus echinatus,-38.638575,-45.86304,7.224464999999995,62,1.896532165
Rubus laciniatus,-38.412778,-46.902541,8.489762999999996,196,1.861462111
Rubus leptothyrsos,-41.418731,-46.584543,5.165811999999995,22,1.896532165
Rubus phoenicolasius,-36.722426,-45.028509,8.306083000000001,178,2.932654319
Rubus polyanthemus,-36.352468,-46.429807,10.077338999999995,15,1.869067828
Rubus ulmifolius,-35.218575,-46.614306,11.395730999999998,84,1.873522664
Rubus vestitus,-36.7935,-46.61324,9.819739999999996,66,1.896532165
Rumex sagittatus,-35.213755,-43.585232,8.371476999999999,696,1.037449357
Sagina procumbens,-34.429722,-47.045477,12.615755,760,2.012912083
Salix cinerea,-35.102561,-46.602139,11.499578,596,3.84497523
Salix purpurea,-35.212444,-46.56211,11.349666,133,2.691190825
Salpichroa origanifolia,-35.316667,-43.540319,8.223651999999994,128,2.131350566
Sambucus nigra,-35.13817,-46.900512,11.762341999999997,1450,3.041998652
Schinus terebinthifolia,-34.72152,-39.609762,4.888242000000005,115,3.039372941
Schoenoplectus californicus,-35.933333,-37.383333,1.4500000000000028,25,2.579050219
Sedum acre,-36.9,-46.918823,10.018823000000005,717,1.997915457
Senecio elegans,-34.429946,-46.660799,12.230852999999996,1246,1.0720032
Senecio glastifolius,-37.766667,-45.874167,8.107500000000002,882,1.200101148
Senecio skirrhodon,-34.862247000000004,-45.925825,11.063578,1210,1.047307233
Senna septemtrionalis,-34.988616,-43.640109,8.651493000000002,82,1.241405674
Setaria palmifolia,-34.87462,-41.303282,6.428662000000003,235,3.028953575
Silybum marianum,-34.494258,-46.233738,11.73948,330,2.104374
Solanum dulcamara,-34.427838,-46.661944,12.234105999999997,711,1.868279073
Solanum linnaeanum,-34.4275,-41.031,6.603499999999997,97,2.585368361
Solanum marginatum,-36.128889,-45.327289,9.1984,59,3.076712842
Solanum mauritianum,-34.52055,-43.640337,9.119787000000002,1520,3.391116085
Solanum pseudocapsicum,-35.149928,-43.7267,8.576771999999998,385,2.709997884
Sorbus aucuparia,-38.136667,-46.584961,8.448293999999997,574,3.002125901
Spartium junceum,-36.825578,-45.874799,9.049221000000003,124,2.948415575
Spiraea japonica,-36.348167,-43.606558,7.258391000000003,39,0.749090083
Sporobolus anglicus,-35.083333,-46.891131,11.807797999999998,106,0.564701545
Stenotaphrum secundatum,-34.424818,-43.758355,9.333537,247,2.640568408
Syzygium australe,-34.994494,-43.530379,8.535885,76,3.304102511
Syzygium smithii,-35,-41.334776,6.334775999999998,277,3.302811011
Thinopyrum obtusiflorum,-41.519194,-41.521352,0.0021580000000014365,5,2.889745943
Thunbergia alata,-34.966921,-39.994916,5.027995000000004,181,0.386404949
Toxicodendron succedaneum,-35.2182,-39.672,4.453799999999994,72,2.989050572
Trachycarpus fortunei,-35.116667,-45.53978,10.423113,262,2.881686484
Tropaeolum majus,-34.823301,-46.382695,11.559393999999998,1016,1.803616091
Tropaeolum speciosum,-38.429554,-46.908889,8.479334999999999,471,2.064385169
Tussilago farfara,-42.787187,-43.443414,0.6562269999999941,22,1.032494834
Ugni molinae,-36.123167,-45.840265,9.717098,51,3.485978855
Ulex europaeus,-34.396389,-46.968936,12.572547,4300,2.956140739
Utricularia gibba,-34.476819,-43.583333,9.106514000000004,560,2.340913151
Verbascum thapsus,-34.447433,-46.45424,12.006807000000002,1385,-0.022086398
Vitis vinifera,-34.466667,-46.5627,12.096032999999998,117,1.824904163
Zantedeschia aethiopica,-34.7,-46.907865,12.207864999999998,1431,2.080116328
Zizania latifolia,-35.880707,-40.850838,4.970131000000002,35,2.944667329
