model_number,species,order,family,ds,log10mdd_family,log10mdd_order,log10mdd,log10mdd_best,form,growth.form,height,habitat,riparian,fruit.type,category,dispersal.adaptations,seed.mass,mechanism1,mechanism2,mechanism3,mechanism4,mechanism5,distance,dispersal.ref,NZ.dispersal.notes,overseas.dispersal.notes,DW.dispersal.notes,NZseeds,NZFloraOnline,NZPCN,Kew SID
2,Archontophoenix cunninghamiana,Arecales,Arecaceae,animal,NA,NA,2.746486313845154,2.746486313845154,NA,tree,13,"Weedbusters: gullies, stream banks, swampy areas. Grows readily in shaded area of canopy cover.",riparian,NA,fleshy,fleshy,0.5682,internal,water,NA,NA,NA,NA,"Weedbusters; Zona & Henderson 1989, cited in Kew SID","Bird spread the seeds long distances. Also spread by water and gravity. (Weedbusters https://www.weedbusters.org.nz/what-are-weeds/weed-list/bangalow-palm/, accessed 15/6/2023","Birds dispersed (Zona & Henderson 1989, cited in SID)",NA,NA,NA,45092,2023-06-15T00:00:00Z
2,Phoenix canariensis,Arecales,Arecaceae,animal,NA,NA,2.457336942140149,2.457336942140149,NA,tree,6,"NZ Flora Online: bank, coast, dry, roadside, sand, slope",NA,berry,fleshy,fleshy,1.056,internal,NA,NA,NA,NA,NA,Williams 2006,"Blackbirds observed eating phoenix palm fruits in Auckland (J. Sullivan pers. comm., in Williams 2006)",NA,NA,NA,2022-06-08T00:00:00Z,NA,2023-06-20T00:00:00Z
2,Trachycarpus fortunei,Arecales,Arecaceae,animal,NA,NA,2.8816864836728415,2.8816864836728415,NA,tree,12,"NZ Flora Online: bank, clay, flat , forest edge, gully, lowland, moist, pasture, roadside, sand, shaded, sheltered, silt, stone, terrace. NZPCN: Disturbed bush and shrubland margins, river and stream edges, wetlands.",riparian,drupe,fleshy,fleshy,0.18128,internal,NA,NA,NA,NA,NA,Esler 1988,The palms reproduce by seeds that are dispersed by birds (Esler 1988).,NA,NA,NA,2022-06-09T00:00:00Z,45100,2023-06-23T00:00:00Z
2,Agave americana,Asparagales,Asparagaceae,wind.none,NA,0.7939390284430172,0.7203827909843625,0.7939390284430172,NA,shrub,10,"NZPCN: Thrives in dry conditions, coastal cliffs, sand dunes. NZ Flora online: bank, clay, cliff, coast, dry, gravel, lake margin, lava, lowland, open, pasture, ridge, roadside, rock outcrop, sand, scrubland, shrubland, silt, stone, terrace, track",NA,capsule,dry,flattened seed,0.00898,wind.none,NA,NA,NA,NA,NA,https://agaveinarizona.wordpress.com/2014/01/27/agave-americana-seeds/comment-page-1/,ETNZF says unspecialised,"Based on dispersal of A. angustifolia: Wind; Diaspore is blown by wind; Direct or experimental observation; (Vazquez & Givnish, 1998); Diaspore is winged. But A. potatorum doesn't have winged seeds. Agave seeds are dispersed by wind https://agaveinarizona.wordpress.com/2014/01/27/agave-americana-seeds/comment-page-1/",probably wind-dispersed,NA,2022-06-02T00:00:00Z,45030,2022-06-19T00:00:00Z
2,Ageratina adenophora,Asterales,Asteraceae,wind.special,NA,1.6140807773851857,1.859375940390602,1.6140807773851857,NA,herb,3,"NZPCN: Lightly shaded frost-free areas, e.g. forest edges, shrublands, wetlands, streamsides, open forest, inshore and offshore islands, gumlands, slips, alluvial flats, coast and estuaries; NZ Flora Online: clay, coast, dry, forest, gap, gully, lava, log, margin, moist, open, ridge, roadside, scrubland, shaded, slope, stone, track",riparian,achene,dry,pappus,5.5e-5,wind,NA,NA,NA,NA,NA,Fromont & King 1992; Timmins & Mackenzie 1995; Cronk & Fuller 1995,NA,wind dispersed (Cronk & Fuller 1995),NA,NA,2022-06-02T00:00:00Z,45030,2022-06-19T00:00:00Z
2,Ageratum houstonianum,Asterales,Asteraceae,wind.special,NA,1.3578221443115783,1.4872302248475768,1.3578221443115783,NA,herb,1,"NZ Flora Online: bank, clay, dry, gap, hill, lake margin, margin, open, pasture, ridge, river terrace, roadside, sand, sheltered, slope, stone, terrace, track, wasteland; NZPCN: Prefers open sunny spots along forest edges",riparian,achene,dry,pappus,1e-4,wind,NA,NA,NA,NA,NA,NZPCN 19 June 2022,NZPCN 19 June 2022: Dispersed by people and the wind.,"Based on A. conyzoides: Animal; Diaspore is carried accidentally; Assumption based upon diaspore morphology; (Mori & Brown, 1998); Diaspore=fruit. The diaspore has spiny, spiky, hooked or barbed projections or awns. Wind; Assumption based upon diaspore morphology; (Foster et al., 1986)",NA,NA,2022-06-02T00:00:00Z,45033,2022-06-19T00:00:00Z
2,Arctium minus,Asterales,Asteraceae,animal,NA,2.1533428690228704,2.001687555214766,2.1533428690228704,NA,herb,1.5,"NZ Flora Online:  bank, coast, forest, forest edge, grassland, hill, lowland, margin, open, pasture, riverbed, roadside, sand, slope, stone, terrace, track, wasteland; NZPCN: Forest margins, waste places, roadsides, creek beds.",riparian,achene,dry,pappus; hooked involucral bracts and ready detachment of mature head,0.0089,attachment,wind,internal,water,NA,NA,Esler 1988; Webb et al. 1988; Green 2015; NZPCN,"Capitual is desseminal due to hooked involucral bracts and ready detachment of mature head (Esler 1988). Dispersed by wind, water, people (NZPCN); Arctium lappa has adhesion mechanisms and is found in sheeps fleece (Webb et al. 1988).","Experimental feeding trials showed viable seeds retained in waterfowl gut, including mallard, up to 8 hours (Green 2015)",NA,NA,2022-06-02T00:00:00Z,45033,2022-06-19T00:00:00Z
2,Arctium minus,Asterales,Asteraceae,wind.special,NA,0.979893878148004,0.9800673766370278,0.979893878148004,NA,herb,1.5,"NZ Flora Online:  bank, coast, forest, forest edge, grassland, hill, lowland, margin, open, pasture, riverbed, roadside, sand, slope, stone, terrace, track, wasteland; NZPCN: Forest margins, waste places, roadsides, creek beds.",riparian,achene,dry,pappus; hooked involucral bracts and ready detachment of mature head,0.0089,attachment,wind,internal,water,NA,NA,Esler 1988; Webb et al. 1988; Green 2015; NZPCN,"Capitual is desseminal due to hooked involucral bracts and ready detachment of mature head (Esler 1988). Dispersed by wind, water, people (NZPCN); Arctium lappa has adhesion mechanisms and is found in sheeps fleece (Webb et al. 1988).","Experimental feeding trials showed viable seeds retained in waterfowl gut, including mallard, up to 8 hours (Green 2015)",NA,NA,2022-06-02T00:00:00Z,45033,2022-06-19T00:00:00Z
2,Baccharis halimifolia,Asterales,Asteraceae,wind.special,NA,2.4056572040129702,2.461610313652684,2.4056572040129702,NA,shrub,4,NA,NA,achene,dry,pappus,1e-4,wind,water,NA,NA,NA,"Seeds have been recorded as drifting up to 140 m from a 2 m high plant. However, most seeds fall within a few metres of the parent plant (Sims-Chilton & Panetta 2011)",Sims-Chilton & Panetta 2011,NA,seeds are attached to a pappus and are readily dispersed by wind and water (Sims-Chilton & Panetta 2011).,NA,NA,2022-06-03T00:00:00Z,NA,2022-06-22T00:00:00Z
2,Bellis perennis,Asterales,Asteraceae,animal,NA,2.174044353547364,1.9825535518814097,2.174044353547364,NA,herb,0.15,NA,NA,achene,dry,none,1.1999999999999999e-4,internal,wind.none,NA,NA,NA,NA,"Albert et al. 2015; van der Pijl 1982, cited in Kew SID",pappus absent,"Combination: wind+animal+unassisted; Method not stated; (van der Pijl, 1982); Also dispersed by water. Diaspore=achene. Achenes fall beneath/close to the parent plant and are possibly thrown further from the plant by the action of wind on the peduncle and infrutescence. Granivorous birds and rainwash are probably also involved in dispersal; Seeds are dispersed internally by deer (Albert et al. 2015).",NA,NA,2022-06-03T00:00:00Z,NA,2023-04-18T00:00:00Z
2,Bellis perennis,Asterales,Asteraceae,wind.none,NA,-0.2738625838584173,-0.40690045929307445,-0.2738625838584173,NA,herb,0.15,NA,NA,achene,dry,none,1.1999999999999999e-4,internal,wind.none,NA,NA,NA,NA,"Albert et al. 2015; van der Pijl 1982, cited in Kew SID",pappus absent,"Combination: wind+animal+unassisted; Method not stated; (van der Pijl, 1982); Also dispersed by water. Diaspore=achene. Achenes fall beneath/close to the parent plant and are possibly thrown further from the plant by the action of wind on the peduncle and infrutescence. Granivorous birds and rainwash are probably also involved in dispersal; Seeds are dispersed internally by deer (Albert et al. 2015).",NA,NA,2022-06-03T00:00:00Z,NA,2023-04-18T00:00:00Z
2,Bidens frondosa,Asterales,Asteraceae,animal,NA,2.2640083782739095,2.1585568724140267,2.2640083782739095,NA,herb,2,"NZ Flora Online: bank, clay, coast, dry, forest, gravel, lake margin, lowland, margin, moist, pasture, peat, riparian, roadside, sand, silt, stone, terrace, wasteland; NZPCN: Water body margins, swamps, damp waste places and low-lying areas",riparian,achene,dry,pappus with barbed awns; barbed spines; seeds have two sharp barbs (NZ Flora Online); adhesive burr,0.0049299999999999995,attachment,water,NA,NA,NA,NA,Esler 1988; Couvreur et al. 2004; Kehr et al. 2014; NZPCN,"Bidens spp. have barbed spines which cling to clothing and animal coats (Esler 1988); two barbed teeth easily attaching to clothing and hair (NZPCN, factsheet prepared by Paul Champion and Deborah Hofstra (NIWA))","B. frondosa dispersed by hydrochory, sampled in river (Kehr et al. 2014); seeds dispersed attached to cattle and donkey fur (Couvreur et al. 2004); B. pilosa: dispersed by water birds via both endo- and ectozoochory (Reynolds & Cumming 2016); B. pilosa: Animal, Diaspore is carried accidentally, assumption based upon diaspore morphology, Diaspore=fruit, diaspore has spiny, spiky, hooked or barbed projections or awns (Mori & Brown 1998, cited in Kew SID).",NA,NA,2022-06-03T00:00:00Z,45034,2022-06-19T00:00:00Z
2,Cirsium arvense,Asterales,Asteraceae,wind.special,NA,1.0974272234694322,1.1320443994946674,1.0974272234694322,NA,herb,1,"NZ Flora Online: alpine, bank, coast, dry, flat , forest, grassland, gravel, hill, loam, log, lowland, margin, moist, montane, open, pasture, roadside, sand, scree, shrubland, silt, slope, stone, terrace, track, tussockland, unstable/eroded, wasteland",NA,achene,dry,pappus; elaiosome,0.00134,wind,internal,water,ant,NA,NA,Pemberton & Irving 1990; Harrington et al. 2011; Soomers et al. 2013; Albert et al. 2015,seeds fed to goats viable and germinated after defecation (Harrington et al 2011),"Wind dispersed, moderate floating potential (Soomers et al. 2013); Wind; Diaspore is blown by wind; Method not stated; (Rutledge & McLendon, sine anno); Humans.; Also dispersed by animals. Diaspore=seed. The seed has a pappus. Dispersed by humans as a contaminant of crop seed, manure, straw, and in irrigation water (cited in Kew SID). seeds dispersed internally (sometimes) by deer (Albert et al. 2015). Seed has an elaiosome (Pemberton & Irving 1990).",NA,NA,2022-06-03T00:00:00Z,NA,2023-04-19T00:00:00Z
2,Cirsium arvense,Asterales,Asteraceae,animal,NA,2.270876214344299,2.153664578072406,2.270876214344299,NA,herb,1,"NZ Flora Online: alpine, bank, coast, dry, flat , forest, grassland, gravel, hill, loam, log, lowland, margin, moist, montane, open, pasture, roadside, sand, scree, shrubland, silt, slope, stone, terrace, track, tussockland, unstable/eroded, wasteland",NA,achene,dry,pappus; elaiosome,0.00134,wind,internal,water,ant,NA,NA,Pemberton & Irving 1990; Harrington et al. 2011; Soomers et al. 2013; Albert et al. 2015,seeds fed to goats viable and germinated after defecation (Harrington et al 2011),"Wind dispersed, moderate floating potential (Soomers et al. 2013); Wind; Diaspore is blown by wind; Method not stated; (Rutledge & McLendon, sine anno); Humans.; Also dispersed by animals. Diaspore=seed. The seed has a pappus. Dispersed by humans as a contaminant of crop seed, manure, straw, and in irrigation water (cited in Kew SID). seeds dispersed internally (sometimes) by deer (Albert et al. 2015). Seed has an elaiosome (Pemberton & Irving 1990).",NA,NA,2022-06-03T00:00:00Z,NA,2023-04-19T00:00:00Z
2,Cirsium arvense,Asterales,Asteraceae,ant,NA,1.1769568948653795,1.4404921099067534,1.1769568948653795,NA,herb,1,"NZ Flora Online: alpine, bank, coast, dry, flat , forest, grassland, gravel, hill, loam, log, lowland, margin, moist, montane, open, pasture, roadside, sand, scree, shrubland, silt, slope, stone, terrace, track, tussockland, unstable/eroded, wasteland",NA,achene,dry,pappus; elaiosome,0.00134,wind,internal,water,ant,NA,NA,Pemberton & Irving 1990; Harrington et al. 2011; Soomers et al. 2013; Albert et al. 2015,seeds fed to goats viable and germinated after defecation (Harrington et al 2011),"Wind dispersed, moderate floating potential (Soomers et al. 2013); Wind; Diaspore is blown by wind; Method not stated; (Rutledge & McLendon, sine anno); Humans.; Also dispersed by animals. Diaspore=seed. The seed has a pappus. Dispersed by humans as a contaminant of crop seed, manure, straw, and in irrigation water (cited in Kew SID). seeds dispersed internally (sometimes) by deer (Albert et al. 2015). Seed has an elaiosome (Pemberton & Irving 1990).",NA,NA,2022-06-03T00:00:00Z,NA,2023-04-19T00:00:00Z
2,Cirsium vulgare,Asterales,Asteraceae,wind.special,NA,1.09205821075117,1.13306260758074,1.09205821075117,NA,herb,1.5,"NZ Flora Online:  alpine, bank, clay, coast, dry, flat , grassland, gravel, gully, hill, log, moist, montane, open, pasture, riparian, roadside, rock outcrop, sand, sheltered, shrubland, silt, slope, stone, terrace, track, tussockland, wasteland; NZPCN: Wasteland, roadsides, pastures, gardens, cultivated land, disturbed forest (Webb et al., 1988). Track edges, slips, barer ridges, under light gaps in the forest (West, 1996).",riparian,achene,dry,pappus; elaiosome,0.0029100000000000003,wind,internal,attachment,ant,NA,NA,Matlack 1987; Pemberton & Irving 1990; Burrows 1995; McIntyre et al. 1995; West 1996; Couvreur et al. 2004; Harrington et al. 2011,wind dispersed (Burrows 1995); seeds fed to goats viable and germinated after defecation (Harrington et al. 2011),wind dispersed (Matlack 1987; McIntyre et al. 1995); seeds dispersed attached to cattle fur (Couvreur et al. 2004); seed has an elaiosome (Pemberton & Irving 1990).,NA,NA,2022-06-03T00:00:00Z,NA,2023-04-19T00:00:00Z
2,Cirsium vulgare,Asterales,Asteraceae,animal,NA,2.2655072016260367,2.1546827861584785,2.2655072016260367,NA,herb,1.5,"NZ Flora Online:  alpine, bank, clay, coast, dry, flat , grassland, gravel, gully, hill, log, moist, montane, open, pasture, riparian, roadside, rock outcrop, sand, sheltered, shrubland, silt, slope, stone, terrace, track, tussockland, wasteland; NZPCN: Wasteland, roadsides, pastures, gardens, cultivated land, disturbed forest (Webb et al., 1988). Track edges, slips, barer ridges, under light gaps in the forest (West, 1996).",riparian,achene,dry,pappus; elaiosome,0.0029100000000000003,wind,internal,attachment,ant,NA,NA,Matlack 1987; Pemberton & Irving 1990; Burrows 1995; McIntyre et al. 1995; West 1996; Couvreur et al. 2004; Harrington et al. 2011,wind dispersed (Burrows 1995); seeds fed to goats viable and germinated after defecation (Harrington et al. 2011),wind dispersed (Matlack 1987; McIntyre et al. 1995); seeds dispersed attached to cattle fur (Couvreur et al. 2004); seed has an elaiosome (Pemberton & Irving 1990).,NA,NA,2022-06-03T00:00:00Z,NA,2023-04-19T00:00:00Z
2,Cirsium vulgare,Asterales,Asteraceae,ant,NA,1.1715878821471173,1.441510317992826,1.1715878821471173,NA,herb,1.5,"NZ Flora Online:  alpine, bank, clay, coast, dry, flat , grassland, gravel, gully, hill, log, moist, montane, open, pasture, riparian, roadside, rock outcrop, sand, sheltered, shrubland, silt, slope, stone, terrace, track, tussockland, wasteland; NZPCN: Wasteland, roadsides, pastures, gardens, cultivated land, disturbed forest (Webb et al., 1988). Track edges, slips, barer ridges, under light gaps in the forest (West, 1996).",riparian,achene,dry,pappus; elaiosome,0.0029100000000000003,wind,internal,attachment,ant,NA,NA,Matlack 1987; Pemberton & Irving 1990; Burrows 1995; McIntyre et al. 1995; West 1996; Couvreur et al. 2004; Harrington et al. 2011,wind dispersed (Burrows 1995); seeds fed to goats viable and germinated after defecation (Harrington et al. 2011),wind dispersed (Matlack 1987; McIntyre et al. 1995); seeds dispersed attached to cattle fur (Couvreur et al. 2004); seed has an elaiosome (Pemberton & Irving 1990).,NA,NA,2022-06-03T00:00:00Z,NA,2023-04-19T00:00:00Z
2,Erigeron karvinskianus,Asterales,Asteraceae,wind.special,NA,1.2589633648257468,1.3335331597737974,1.2589633648257468,NA,herb,0.4,"NZ Flora Online: bank, clay, cliff, coast, dry, gap, gorge, gravel, hill, lowland, margin, moist, open, pasture, ridge, riparian, roadside, rock outcrop, sand, scrubland, shaded, sheltered, slope, stone, terrace, track, wasteland; NZPCN: Intact and disturbed bush, shrubland, tussockland, fernland, herbfield, bare land, streamsides, cliffs and bluffs, inshore and offshore islands, gumlands, consolidated sand dunes, most coastal areas, riverbeds, epiphyte niches.",riparian,achene,dry,pappus,5.24e-5,wind,water,NA,NA,NA,NA,"NZPCN website, accessed 13 April 2023","Spreads mainly by windblown seeds. Other dispersal methods include roadside mowers, machinery, gravel and water actions. (NZPCN)",NA,NA,NA,2022-06-07T00:00:00Z,45029,2023-04-13T00:00:00Z
2,Eupatorium cannabinum,Asterales,Asteraceae,wind.special,NA,1.3560065103011723,1.4968462653411037,1.3560065103011723,NA,herb,1.8,"NZ Flora Online: bank, clay, coast, dry, forest edge, gap, gully, hill, lowland, margin, moist, open, pasture, peat, roadside, sand, sheltered, shrubland, silt, slope, stone, terrace, tussockland, wasteland, wetland; NZPCN: Wetlands and riparian margins of water bodies, particularly areas that are rich in Nitrogen.",riparian,achene,dry,pappus,2.9e-4,wind,internal,water,attachment,NA,NA,"NZPCN website, accessed 13 April 2023 (Factsheet prepared by Paul Champion and Deborah Hofstra (NIWA)); Matlack 1987; Couvreur et al. 2004; Albert et al. 2015","Produces thousands of tiny wind dispersed seeds. Also has the potential to spread by water and contaminated machinery, deliberate planting (NZPCN Factsheet prepared by Paul Champion and Deborah Hofstra (NIWA)).","Wind; Diaspore is blown by wind; Method not stated; Diaspore=achene+pappus (Matlack 1987). Seeds are dispersed internally by deer (sometimes; Albert et al. 2015). Seeds dispersed attached to cattle and donkey fur, wind-dispersed plumed seed (Couvreur et al. 2004)",NA,NA,2022-06-07T00:00:00Z,45029,2022-06-21T00:00:00Z
2,Eupatorium cannabinum,Asterales,Asteraceae,animal,NA,2.529455501176039,2.518466443918842,2.529455501176039,NA,herb,1.8,"NZ Flora Online: bank, clay, coast, dry, forest edge, gap, gully, hill, lowland, margin, moist, open, pasture, peat, roadside, sand, sheltered, shrubland, silt, slope, stone, terrace, tussockland, wasteland, wetland; NZPCN: Wetlands and riparian margins of water bodies, particularly areas that are rich in Nitrogen.",riparian,achene,dry,pappus,2.9e-4,wind,internal,water,attachment,NA,NA,"NZPCN website, accessed 13 April 2023 (Factsheet prepared by Paul Champion and Deborah Hofstra (NIWA)); Matlack 1987; Couvreur et al. 2004; Albert et al. 2015","Produces thousands of tiny wind dispersed seeds. Also has the potential to spread by water and contaminated machinery, deliberate planting (NZPCN Factsheet prepared by Paul Champion and Deborah Hofstra (NIWA)).","Wind; Diaspore is blown by wind; Method not stated; Diaspore=achene+pappus (Matlack 1987). Seeds are dispersed internally by deer (sometimes; Albert et al. 2015). Seeds dispersed attached to cattle and donkey fur, wind-dispersed plumed seed (Couvreur et al. 2004)",NA,NA,2022-06-07T00:00:00Z,45029,2022-06-21T00:00:00Z
