authority,species,synonym,common name,notes,form,growth.form,height,habitat,riparian,fruit.type,category,dispersal.adaptations,seed.mass,syndrome1,syndrome2,mechanism1,mechanism2,mechanism3,mechanism4,mechanism5,distance,dispersal.ref,NZ.dispersal.notes,overseas.dispersal.notes,DW.dispersal.notes,NZseeds,NZFloraOnline,NZPCN,Kew SID,n_mech,n_synd,n_nonstd_mech
Impatiens sodenii Engl. & Warb. ex Engl.,Impatiens sodenii,NA,shrub balsam,"subshrub, seed not seen (Webb et al. 1988); Some seed produced (NZPCN website)",NA,shrub,2,NA,NA,capsule,dry,explosive capsule,NA,NA,NA,NA,NA,NA,NA,NA,NA,Webb 1988; Esler 1988,the succulent ovary walls curl inwards violently at maturity (Esler 1988).,NA,NA,rare,2022-06-08T00:00:00Z,NA,NA,0,0,NA
Imperata cylindrica (L.) P.Beauv.,Imperata cylindrica,NA,lalanga bladey grass,NA,NA,NA,NA,NA,NA,caryopsis,dry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wind; Diaspore is blown by wind; Direct or experimental observation; (Ridley, 1930); Also dispersed via vegetative spread. Diaspore=spikelet. The seed is plumed.",NA,none,2022-06-08T00:00:00Z,NA,2022-06-21T00:00:00Z,0,0,NA
Ipomoea indica (Burm.) Merr.,Ipomoea indica,NA,blue morning glory,"Climber; Fruit not seen, viable seed is not formed in NZ (Webb et al. 1988); Has occasional seeds which seemingly contribute nothing to the dispersal of the species (Esler 1988). Viable seed was not thought to be formed in New Zealand (Webb et. al. 1988; Department of Conservation 1996). However, in 1996 a plant was found in the Bay of Plenty producing large amounts of seed with seedlings nearby (Ford, 1998, cited in NZPCN website).
",NA,NA,NA,NA,NA,capsule,dry,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,Esler 1988,has no structures directly aiding active seed dispersal and large seeds >10 mg (Esler 1988).,"I. cuernavacensis: Unassisted; Seeds drop to the ground close to or beneath the parent plant; Direct or experimental observation; (Vazquez & Givnish, 1998, cited in Kew SID)",NA,rare,2022-06-08T00:00:00Z,NA,NA,0,0,NA
Iris foetidissima L.,Iris foetidissima,NA,stinking iris,"herb, stems 60–80 cm high, infl. c. 80 cm long with the flowers usually amongst the leaves. Fruit diameter is for seed plus aril (Webb 1988; Snow & Snow 1988); capsules split open to reveal around 30 seeds covered in fleshy arils (Snow & Snow 1988).",NA,herb,0.8,"NZ Flora Online: bank, cliff, coast, dry, forest, lowland, pasture, roadside, rock outcrop, shaded, shrubland, silt, slope, terrace, track, wasteland",NA,arillate,fleshy,fleshy,0.07941,internal,NA,internal,water,NA,NA,NA,NA,Webb et al. 1988; Atkinson 1997; Timmins & Mckenzie 1995,has no structures directly aiding active seed dispersal and large seeds >10 mg (Esler 1988). Seeds are dispersed by birds (Webb et al. 1988; Atkinson 1997). Seed is dispersed by birds and water (Timmins & MacKenzie 1995).,Occasionally eaten by blackbird & song thrush but fruits remain on plants for months. Stinking iris fruit is evidently relatively unpopular with fruit-eaters except when food is scarce (Snow & Snow 1988).,NA,NA,2022-06-08T00:00:00Z,45096,2023-06-19T00:00:00Z,2,1,1
Iris pseudacorus L.,Iris pseudacorus,NA,yellow flag,emergent aquatic,NA,herb,1,"NZ Flora Online: bank, coast, dry, forest, gully, lake margin, margin, moist, pasture, roadside, silt; NZPCN: Still and slow flowing water bodies, wetlands and reported from salt marshes overseas.",riparian,capsule,aquatic,"buoyant seed, hard seed coat, gas space inside seed",0.04279,water,NA,water,internal,NA,NA,NA,NA,Coops & van der Velde 1995; van den Broek et al. 2005; Almeida et al. 2022; NZPCN,"Seeds and rhizome fragments spread by water and contaminated machinery, and deliberate planting (NZPCN Factsheet prepared by Paul Champion and Deborah Hofstra (NIWA)).",experiment show seeds are highly buoyant (van den Broek et al. 2005); seeds can float for 7 months on a calm surface (Coops & van der Velde 1995).  seeds ingested by waterfowl (Almeida et al. 2022).,NA,NA,2022-06-08T00:00:00Z,45043,2023-04-27T00:00:00Z,2,1,1
Jacobaea vulgaris Gaertn.,Jacobaea vulgaris,Senecio jacobaea,ragwort,"seeds from disc florets have pappus (for wind dispersal) and trichomes (possibly for animal dispersal), while those from ray florets have neither (Wardle 1987)",NA,herb,1.2,"NZ Flora Online: bank, coast, dry, forest, forest edge, gap, grassland, gravel, hill, log, lowland, margin, moist, open, pasture, peat, ridge, riparian, river terrace, riverbed, roadside, sand, shaded, slope, stone, terrace, track, wasteland; NZPCN: Especially abundant in areas of higher rainfall (Webb et al.,1988). Plant of open ground and light gaps: wherever there is sufficient bare ground for seeds to germinate and establish. Found mostly in open forests, riverbeds, swamps and pastures. Grows on coastal slopes and along tracks (West, 1996).",riparian,achene,dry,"pappus, none, trichomes",2.0999999999999998e-4,wind,unspecialised,wind,water,attachment,NA,NA,"Most seeds dispersed downwind of the prevailing north-easterly and within a few metres, with rare distances of up to 36.6m",Wardle 1987; West 1996; NZPCN,"Seed dispersal of seeds from disc florest by wind but those from ray florest unspecialised, dispersal by attachment but not internally (Wardle 1987); Dispersal of seed via water, animals, vehicles, clothing, hay, chaff (NZPCN). Numerous small seeds are dispersed widely by the wind (West,1996).",NA,NA,NA,2022-06-08T00:00:00Z,45043,2022-06-21T00:00:00Z,3,2,2
Jasminum polyanthum Franch.,Jasminum polyanthum,NA,jasmine,seed set rare,NA,NA,NA,NA,NA,berry,fleshy,fleshy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Jasminum spp. verified as vertebrate-dispersed (Meisenburg & Fox 2002),NA,rare,2022-06-08T00:00:00Z,NA,NA,0,0,NA
Juglans ailantifolia Carrière,Juglans ailantifolia,NA,Japanese walnut,NA,NA,tree,15,"NZ Flora Online:  bank, coast, hill, open, pasture, riparian, river terrace, roadside, sand, shrubland, silt, stone, terrace, wasteland",riparian,drupe,dry,none,6.767,scatterhoarding,NA,scatterhoarding,water,NA,NA,NA,NA,Esler 1988; Tamura 2001; Weedbusters https://www.weedbusters.org.nz/what-are-weeds/weed-list/japanese-walnut/,"Spreads by water [streams], occasionally dumped nuts, possibly by pigs or possums, favoured habitat of rats (Weedbusters https://www.weedbusters.org.nz/what-are-weeds/weed-list/japanese-walnut/). Seedlings sometimes appear in large numbers in the vicinity of parents (Webb et al. 1988). has no structures directly aiding active dispersal and large seeds (>10 mg) (Esler 1988).",squirrels & wood mice disperse seeds via scatterhoarding in Japan (Tamura 2001); damaged seeds found in bear droppings (Koike et al. 2008).,also possible scatterhoarding by rats in NZ?,NA,2022-06-08T00:00:00Z,NA,2022-06-21T00:00:00Z,2,1,1
Juncus acutus L.,Juncus acutus,NA,sharp rush,NA,rush,herb,1,"NZ Flora Online: coast, dry, gravel, moist, open, roadside, sand, sheltered, silt; NZPCN: Wet and seasonally dry sandy areas",NA,capsule,dry,sticky mucilage,1e-4,attachment,NA,attachment,water,NA,NA,NA,NA,Esler 1988; NZPCN,"Seeds of Juncus spp. become mucilaginous when wet and can be carried long distances adhering to moving objects (Esler 1988); Seed dispersed by animals, water or contaminated machinery (NZPCN Factsheet prepared by Paul Champion and Deborah Hofstra (NIWA)).",Juncus sp. dispersed by water birds via ectozoochory (Reynolds & Cumming 2016); J. articulatus (Albert et al. 2015) and J. canadensis and J. effusus seeds germinated from white-tailed deer faeces (Flaherty et al. 2018),NA,NA,2022-06-08T00:00:00Z,45043,2022-06-21T00:00:00Z,2,1,1
Juncus articulatus L.,Juncus articulatus,NA,jointed rush,NA,rush,herb,0.6,"NZ Flora Online: bank, clay, cliff, coast, flat, grassland, gravel, hill, lake margin, lowland, margin, moist, montane, open, pasture, peat, riverbed, roadside, rock outcrop, sand, silt, slope, stone, terrace, wetland; NZPCN: Margins of flowing and still water bodies, drains and wet pasture, sometimes submerged or floating.",riparian,capsule,dry,sticky mucilage,2e-5,attachment,NA,attachment,water,internal,wind.none,NA,NA,Welch 1985; Esler 1988; Couvreur et al. 2004; Rosenthal 2006; Albert et al. 2015; Almeida et al. 2022; NZPCN,"Seeds of Juncus spp. become mucilaginous when wet and can be carried long distances adhering to moving objects (Esler 1988); Seed dispersed by animals, water or contaminated machinery (NZPCN Factsheet prepared by Paul Champion and Deborah Hofstra (NIWA)).","short distance wind dispersal; epichorous, mucilage adhesion (Rosenthal 2006); seeds are dispersed by deer internally (sometimes; Albert et al. 2015). Seeds dispersed attached to cattle fur (Couvreur et al. 2004); seeds germinated from red deer dung (Welch 1985). seeds ingested by waterfowl (Almeida et al. 2022).",NA,NA,2022-06-08T00:00:00Z,45043,2022-06-21T00:00:00Z,4,1,3
Juncus bulbosus L.,Juncus bulbosus,NA,bulbous rush,NA,rush,herb,0.15,"NZPCN: Mostly peaty sites in wet pastures, water body margins, drains and wetlands, sometimes submerged; NZ Flora Online: alpine, fernland, gravel, margin, moist, open, ridge, roadside, sand, shrubland, silt, wetland",NA,capsule,dry,sticky mucilage,2.405e-4,attachment,NA,attachment,water,NA,NA,NA,NA,Esler 1988; NZPCN,"Seeds of Juncus spp. become mucilaginous when wet and can be carried long distances adhering to moving objects (Esler 1988); Seed dispersed by animals, water or contaminated machinery (NZPCN Factsheet prepared by Paul Champion and Deborah Hofstra (NIWA)).",Juncus sp. dispersed by water birds via ectozoochory (Reynolds & Cumming 2016); J. articulatus (Albert et al. 2015) and J. canadensis and J. effusus seeds germinated from white-tailed deer faeces (Flaherty et al. 2018),NA,NA,2022-06-08T00:00:00Z,45043,2022-06-21T00:00:00Z,2,1,1
Juncus squarrosus L.,Juncus squarrosus,NA,heath rush,NA,rush,herb,0.35,"NZ Flora Online: forest edge, gravel, hill, lake margin, moist, open, pasture, roadside, shrubland, slope, track; NZPCN: Peaty and other low nutrient (acid) sites.",NA,capsule,dry,sticky mucilage,1e-4,attachment,NA,attachment,water,internal,NA,NA,NA,Welch 1985; Esler 1988; Mouissie et al. 2005; Albert et al. 2015; NZPCN,"Seeds of Juncus spp. become mucilaginous when wet and can be carried long distances adhering to moving objects (Esler 1988); Seed dispersed by animals, water or contaminated machinery (NZPCN Facthseet prepared by Paul Champion and Deborah Hofstra (NIWA)).","fruits with seeds attached to fleece of real sheep, also attached to experimental sheep dummy but not cattle dummy (Mouissie et al. 2005); seeds are dispersed by deer internally (sometimes; Albert et al. 2015). seeds germinated from cattle, red deer, hare and red grouse dung (Welch 1985).",NA,NA,2022-06-08T00:00:00Z,45043,2022-06-21T00:00:00Z,3,1,2
Kalanchoe pinnata (Lam.) Pers.,Kalanchoe pinnata,Bryophyllum pinnatum,air plant,Any seed which is formed is unlikely to be fertile (Webb et al. 1988),NA,NA,NA,NA,NA,follicle,dry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,none,NA,NA,NA,0,0,NA
Kennedia rubicunda Vent.,Kennedia rubicunda,NA,dusky coral pea,"seed strophiolate (with hard aril-like appendage) (Webb et al. 1988), climbing herb",vine,shrub,NA,"NZ Flora Online: bank, dry. NZPCN: In sun and semi-shade on sandstone soils.",NA,pod,fleshy,"explosively dehiscent pod, arillate seed",0.02541,ballistic,ant,ballistic,ant,NA,NA,NA,NA,Berg 1975,NA,"myrmecochorous (Berg 1975). myrmecochorous (Rice & Westoby 1981, probably based on Berg 1975)",NA,NA,2022-06-08T00:00:00Z,45096,2023-06-19T00:00:00Z,2,2,1
Lagarosiphon major (Ridl.) Moss,Lagarosiphon major,NA,NA,Does not produce seeds (Healy & Edgar 1980); dioecious species with only one sex present in NZ (Esler 1988).,NA,NA,NA,NA,NA,capsule,aquatic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,none,2022-06-08T00:00:00Z,NA,NA,0,0,NA
Lagunaria patersonia (Andrews) G.Don,Lagunaria patersonia,NA,norfolk island hibiscus,"not in Flora; NZPCN: Mainly spread by inappropriate coastal plantings, careless discard of garden clippings and down water courses near which it has been planted. The seeds are enclosed in somewhat buoyant pods.",NA,tree,NA,NA,NA,pod,dry,buoyant pod,0.0482,water,NA,water,NA,NA,NA,NA,NA,NZPCN,"Mainly spread by inappropriate coastal plantings, careless discard of garden clippings and down water courses near which it has been planted. The seeds are enclosed in somewhat buoyant pods (NZPCN).",NA,NA,NA,2022-06-08T00:00:00Z,45048,2022-06-21T00:00:00Z,1,1,0
Lamium galeobdolon (L.) L.,Lamium galeobdolon,Galeobdolon luteum,aluminium plant,NA,NA,NA,NA,NA,NA,nutlet,dry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,none,2022-06-08T00:00:00Z,NA,NA,0,0,NA
Lantana camara L.,Lantana camara,NA,lantana,"shrub;  stems upright to spreading, or almost scrambling to  c.  2–(3) m high",NA,shrub,2,"NZ Flora Online: bank, clay, coast, dry, grassland, gully, hill, lava, lowland, margin, open, pasture, roadside, sand, shaded, sheltered, shrubland, slope, stone, track, wasteland",NA,drupe,fleshy,fleshy,0.01114,internal,NA,internal,NA,NA,NA,NA,NA,Webb et al. 1988; Fromont & King 1992; Cronk & Fuller 1995; Meisenburg & Fox 2002; Higgins et al. 2006; Green 2016,"Bird dispersed, notably by waxeyes (Fromont & King 1992)","particularly well dispersed by myna, Acridotheres tristis (Cronk & Fuller 1995); vertebrates observed consuming fruits (Meisenburg & Fox 2002); intact seeds found in heron faeces predating lizards (secondary dispersal; Green 2016). Fruits eaten by silvereyes in Australia (Higgins et al. 2006).",NA,NA,2022-06-08T00:00:00Z,NA,2023-06-19T00:00:00Z,1,1,0
Larix decidua Mill.,Larix decidua,NA,European larch,"small or medium sized tree; Seed with large, broad, asymmetric wing",NA,tree,NA,"NZ Flora Online: alpine, bank, margin, open, pasture, ridge, roadside, slope; NZPCN: A plant of montane and subalpine habitats and sites of low fertility (Timmins & MacKenzie 1995). A plant of tussockland (Timmins & MacKenzie 1995).",NA,cone,dry,winged seed,0.0064,wind,NA,wind,NA,NA,NA,NA,NA,Timmins & Mackenzie 1995; SID,NA,"Wind; Diaspore is blown by wind; Method not stated; (Young & Young, 1992, cited in SID); Diaspore=seed. The diaspore has wings or wing-like features.",NA,NA,2022-06-08T00:00:00Z,45048,2022-06-21T00:00:00Z,1,1,0
Lathyrus latifolius L.,Lathyrus latifolius,NA,everlasting pea,scrambling,NA,herb,NA,NA,NA,pod,dry,none,0.040299999999999996,unspecialised,NA,unknown,NA,NA,NA,NA,NA,NA,NA,"L. sp. Dispersal prevented; Seeds are produced below ground level; Direct or experimental observation; (van Rheede van Oudtshoorn & van Rooyen, 1999); The species is amphicarpic, producing some (but not all) diaspores below ground. L. palustrus: no dispersal adaptations (Rosenthal 2006).",dispersal based on morphology,NA,2022-06-08T00:00:00Z,45048,2022-06-21T00:00:00Z,0,1,0
Lathyrus tingitanus L.,Lathyrus tingitanus,NA,Tangier pea,scrambling,NA,herb,NA,NA,NA,pod,dry,none,0.0935,unspecialised,NA,unknown,NA,NA,NA,NA,NA,NA,NA,"L. sp. Dispersal prevented; Seeds are produced below ground level; Direct or experimental observation; (van Rheede van Oudtshoorn & van Rooyen, 1999); The species is amphicarpic, producing some (but not all) diaspores below ground. L. palustrus: no dispersal adaptations (Rosenthal 2006).",dispersal based on morphology,NA,2022-06-08T00:00:00Z,45048,2022-06-21T00:00:00Z,0,1,0
Laurus nobilis L.,Laurus nobilis,NA,bay,Large shrub or small tree to  c. 7 m,shrub-tree,shrub,7,"NZ Flora Online: clay, cliff, coast, dry, gravel, gully, hill, loam, lowland, margin, open, roadside, rock outcrop, sand, shaded, sheltered, silt, stone, terrace, track, wasteland. NZPCN: intact bush, waste land and scrub",NA,berry,fleshy,fleshy,0.51627,internal,NA,internal,NA,NA,NA,NA,NA,NZPCN,Dispersed by birds and people (NZPCN),NA,NA,NA,2022-06-08T00:00:00Z,45096,2023-06-19T00:00:00Z,1,1,0
Leptospermum laevigatum (Gaertn.) F.Muell.,Leptospermum laevigatum,NA,Victorian tea tree,"shrub or small tree 1-2 (-7) m high, fertile seeds with lamellate wings",NA,shrub,2,NA,NA,capsule,dry,winged seed,0.0011200000000000001,wind,NA,wind,NA,NA,NA,NA,NA,Burrell 1981,NA,the seed is wind dispersed (Burrell 1981),NA,NA,2022-06-15T00:00:00Z,NA,2022-06-21T00:00:00Z,1,1,0
Leucanthemum vulgare Lam.,Leucanthemum vulgare,NA,oxeye daisy,"achenes of disc florets pappus absent, achenes of ray florets sometimes with irregular pappus c. 0.3 mm long",NA,herb,1,NA,NA,achene,dry,none,4.1999999999999996e-4,unspecialised,NA,internal,attachment,NA,NA,NA,few seeds dispersed more than 0.6m (Clements et al. 2004 & references therein),McIntyre et al. 1995; Clements et al. 2004; Rosenthal 2006; Albert et al. 2015; Green 2016; McDougall et al. 2018,NA,"No dispersal adaptations (Rosenthal 2006); seeds are dispersed by deer internally (sometimes; Albert et al. 2015). Viable seeds germinated from gull faeces (Green 2016); seeds viable after passage through farm animals including cattle and horses, seeds attached to sheeps fleece on rare occasions (Clements et al. 2004); seeds attached to animal (kangaroo & fox) fur in experiment (McDougall et al. 2018); undefined seed dispersal morphology (McIntyre et al. 1995)",NA,NA,2022-06-15T00:00:00Z,NA,2022-06-21T00:00:00Z,2,1,2
Leycesteria formosa Wall.,Leycesteria formosa,NA,Himalayan honeysuckle,Shrub to 2–(3) m high,NA,shrub,2,"NZ Flora Online: bank, clay, cliff, dry, forest, forest edge, gap, gully, hill, lowland, margin, moist, open, pasture, riparian, roadside, rock outcrop, sand, scrubland, sheltered, shrubland, silt, slope, stone, track, unstable/eroded, wasteland. NZPCN: A plant of coastal and lowland habitats (Timmins & MacKenzie 1995). The plant occurs in streams and favours damper habitats (Veitch 1995; Department of Conservation 1996). A plant of streams, shrublands, light gaps in forests (such as windfall gaps), roadsides, exotic plantations, farm hedges and wasteland habitats (Veitch 1995; Department of Conservation 1996). A plant of scrub and forest margin, shrubland and riverbed communities (Timmins & MacKenzie 1995).",riparian,berry,fleshy,fleshy,3e-4,internal,NA,internal,NA,NA,NA,NA,NA,Webb et al. 1988; Williams & Karl 1996; Atkinson 1997; Spurr et al. 2011,bird-dispersed (Atkinson 1997); bellbirds eat fruits (Spurr et al. 2011),NA,NA,NA,2022-06-08T00:00:00Z,45096,2023-06-19T00:00:00Z,1,1,0
Leymus racemosus (Lam.) Tzvelev,Leymus racemosus,Elymus racemosus,Siberian lyme grass,"inflorescence is up to 1.6 m long, with a stiff erect spike",grass,herb,1.6,"NZ Flora Online:  bank, coast, hill, pasture, roadside, sand, wasteland; NZPCN: coastal dunes, foreshore, sandy places and waste land",NA,caryopsis,dry,none,0.0105884,unspecialised,NA,unknown,NA,NA,NA,NA,NA,NA,NA,"L. triticoides: Dispersal aids: none (RBG Kew, Wakehurst Place, Kew SID)",dispersal based on morphology,NA,2022-06-08T00:00:00Z,45048,2022-06-21T00:00:00Z,0,1,0
Ligustrum lucidum W.T.Aiton,Ligustrum lucidum,NA,tree privet,"small or medium-sized, evergreen tree to  c. 10 m high (taller in cultivation), sometimes a dense shrub",shrub-tree,shrub,10,"NZ Flora Online: clay, flat , gap, gully, hill, margin, open, roadside, sand, scrubland, sheltered, slope, stone, wasteland. NZPCN: A plant of coastal and lowland habitats. The plant occurs in sites of low-high fertility. A plant of scrub and forest margins, roadsides, fencelines and open forest communities. A plant of forest, lowland and coastal, forest fragments, shrublands, roadsides, farm hedges, wastelands, domestic garden sites. The plant has naturalised in waste places, margins of remnant forest stands, coastal cliffs and gardens.",NA,drupe,fleshy,fleshy,0.031,internal,NA,internal,NA,NA,NA,NA,NA,Esler 1988; Fromont & King 1992; Timmins & Mackenzie 1995; Atkinson 1997; Karan 2000; Higgins et al. 2006,"Birds, including pigeons, spread the seeds (Fromont & King 1992). Bird-dispersed (Atkinson 1997)",Ligustrum spp. verified as vertebrate-dispersed (Meisenburg & Fox 2002); Bergquist 1987. Fruits eaten by silvereyes in Australia (Higgins et al. 2006).,NA,NA,2022-06-08T00:00:00Z,45096,2023-06-19T00:00:00Z,1,1,0
Ligustrum ovalifolium Hassk.,Ligustrum ovalifolium,NA,privet,fruits uncommon,NA,NA,NA,NA,NA,drupe,fleshy,fleshy,NA,NA,NA,NA,NA,NA,NA,NA,NA,Esler 1988,NA,Ligustrum spp. verified as vertebrate-dispersed (Meisenburg & Fox 2002),NA,rare,2022-06-08T00:00:00Z,NA,NA,0,0,NA
Ligustrum sinense Lour.,Ligustrum sinense,NA,Chinese privet,Shrub or small tree to  c. 5 m high,shrub-tree,shrub,5,"NZ Flora Online: bank, coast, dry, forest, forest edge, gap, gravel, gully, hill, lowland, margin, open, river terrace, roadside, rock outcrop, sand, scrubland, sheltered, shrubland, slope, stone, terrace, wasteland. NZPCN: A plant of coastal and lowland habitats (Timmins & MacKenzie 1995). The plant occurs in sites of low-high fertility (Timmins & MacKenzie 1995). A plant of scrub and forest margin, roadsides, fencelines, open forest communities (Timmins & MacKenzie 1995). Communities in which the plant occurs are alluvial forest remnants, wasteplaces, shrublands, open stream systems and coastal areas (Department of Conservation 1996).",riparian,drupe,fleshy,fleshy,0.01653,internal,NA,internal,NA,NA,NA,NA,NA,Esler 1988; Fromont & King 1992; Timmins & Mackenzie 1995; Williams & Karl 1996; Atkinson 1997,Dispersed by birds (Fromont & King 1992; Atkinson 1997),Ligustrum spp. verified as vertebrate-dispersed (Meisenburg & Fox 2002),NA,NA,2022-06-08T00:00:00Z,45096,2023-06-19T00:00:00Z,1,1,0
Ligustrum vulgare L.,Ligustrum vulgare,NA,common privet,misidentified as Syringa vulgaris; shrub or occasionally a small tree to 5 m tall,shrub-tree,shrub,5,"Webb et al. 1988: waste land, roadside banks and in and around modified forest remnants",NA,berry,fleshy,fleshy,0.015960000000000002,internal,NA,internal,NA,NA,NA,NA,dispersal distance of >300 m observed,Debussche & Isenmann 1994,NA,"bird dispersed (Debussche & Isenmann 1994). dispersed by birds, direct or experimental observation (Snow & Snow 1988, cited in SID)",NA,NA,NA,NA,2023-10-02T00:00:00Z,1,1,0
Lilium formosanum A.Wallace,Lilium formosanum,NA,formosan lily,"capsule not seen (Webb et al. 1988); photo of capsule by Trevor James on NZ Flora Online; ""...pods had started to split from the top into 3. The
splitting sides remained connected by lace like webbing which allowed the wind to lift the light winged seeds out the open top and also water to drain out. The seeds spun like sycamore seeds when allowed to free fall."" (Cameron 1989)",NA,herb,0.75,"NZ Flora Online:  bank, coast, dry, gap, lowland, open, pasture, roadside, rock outcrop, sand, sheltered, shrubland, slope, stone, track; NZPCN: Disturbed areas, Roadsides, Dunes",NA,capsule,dry,winged seed,0.001648,wind,NA,wind,NA,NA,NA,NA,NA,Cameron 1989,NA,NA,NA,NA,2022-06-08T00:00:00Z,45048,2022-06-21T00:00:00Z,1,1,0
Lolium arundinaceum (Schreb.) Darbysh.,Lolium arundinaceum,"Festuca arundinaceum, Schedonorus arundinaceus",tall fescue,infl. up to 1.5 m long,grass,herb,1.5,"commonly of river beds; NZ Flora Online: bank, coast, dry, forest, forest edge, grassland, gravel, hill, lake margin, lowland, margin, moist, open, pasture, peat, riparian, riverbed, roadside, rock outcrop, sand, sheltered, shrubland, silt, slope, stone, terrace, track, wasteland, wetland",riparian,caryopsis,dry,none,0.0011,unspecialised,NA,bird nesting material,NA,NA,NA,NA,NA,Warren et al. 2017,"ETNZF (attachment, also wind)",Schedonorus arundinaceus (synonym) dispersed in bird nesting material (Warren et al. 2017).,dispersal based on morphology,NA,2022-06-16T00:00:00Z,NA,2023-06-07T00:00:00Z,1,1,1
Lolium perenne L.,Lolium perenne,NA,perennial ryegrass,NA,grass,herb,0.75,"NZ Flora Online: alpine, bank, clay, cliff, coast, dry, forest, forest edge, grassland, gravel, hill, lake margin, lowland, margin, moist, open, pasture, ridge, roadside, rock outcrop, sand, shaded, shrubland, slope, stone, terrace, track, unstable/eroded, wasteland; NZPCN: Roadsides and tracks, pasture, river flats and banks, waste land and sand dunes, lowland to montane",riparian,caryopsis,dry,none,0.002,unspecialised,NA,internal,attachment,wind.none,NA,NA,NA,Welch 1985; Marchant & Higgins 1990b; Harrington et al. 2011; Morris et al. 2011; Couvreur et al. 2004; Albert et al. 2015; Almeida et al. 2022,seeds fed to goats viable and germinated after defecation (Harrington et al 2011); has no structures directly aiding active seed dispersal and medium-sized seeds (1-10 mg) (Esler 1988). Seeds recorded in pukeko gizzards (Marchant & Higgins 1990b).,"wind: flattened seed; endochorous, hard seed coat, without pulp; dysochorous, lost food (Rosenthal 2006); seeds are dispersed internally by deer (sometimes; Albert et al. 2015). Seeds dispersed attached to cattle and horse fur, unspecialised dispersal (Couvreur et al. 2004); undefined seed dispersal morphology (McIntyre et al. 1995); ; seeds germinated from cattle dung (Welch 1985). seeds caught in seed trap (Morris et al. 2011).  seeds ingested by waterfowl (Almeida et al. 2022).",NA,NA,2022-06-08T00:00:00Z,45048,2022-06-21T00:00:00Z,3,1,3
Lomatia fraseri R.Br.,Lomatia fraseri,NA,tree lomatia,not on NZPCN website. See Perrie & Shepherd 2021 for species details. Shrub or small tree to at least 4 m high.,shrub-tree,shrub,4,"Perrie & Shepherd 2021: in disturbed firebreak, under manuka and kanuka and in regenerating forest.",NA,follicle,dry,winged seed,0.0072,wind,NA,wind,NA,NA,NA,NA,NA,Perrie & Shepherd 2021,"has winged seeds, which aid wind dispersal (Perrie & Shepherd 2021)",NA,NA,NA,NA,NA,2023-10-02T00:00:00Z,1,1,0
Lonicera japonica Thunb.,Lonicera japonica,NA,Japanese honeysuckle,Vigorous climber,vine,shrub,NA,"NZ Flora Online: bank, coast, dry, flat , forest, forest edge, gravel, hill, lake margin, lava, loam, lowland, margin, open, pasture, roadside, sand, shaded, sheltered, shrubland, terrace, track, wasteland. NZPCN: A plant of coastal and lowland communities which grows in moderately fertile sites. The plant grows more vigorously in deeper valley soils (Department of Conservation 1996). Grows best on calcerous soils and moist forest soils; it rarely establishes on excessively drained and drought-prone sandy or stony soils (Williams and Timmins, 1997).

Occurs in scrub, forest margins, shrublands, disturbed or secondary forest, coastal areas, modified lowland forest, wetland margins, inshore islands, roadsides, farm hedges, wasteland, rough pasture, open forest, forest, wetlands, streambanks and around margins and in clearings (Webb et. al. 1988).",NA,berry,fleshy,fleshy,0.0018,internal,NA,internal,NA,NA,NA,NA,NA,Esler 1988; Timmins & Mackenzie 1995; Williams & Karl 1996; Atkinson 1997,Has succulent fruits which are dispersed by birds quite effectively (Esler 1988). Bird-dispersed (Atkinson 1997).,vertebrates observed consuming fruits (Meisenburg & Fox 2002),NA,NA,2022-06-08T00:00:00Z,45096,2023-06-19T00:00:00Z,1,1,0
Lophospermum erubescens D.Don ex Sweet,Lophospermum erubescens,NA,creeping gloxinia,climbing,NA,herb,NA,"NZ Flora Online: coast, gully, lava, margin, shaded, sheltered; NZPCN: Forest margins and scrub. Recorded from almost bare rock on Rangitoto Is.",NA,capsule,dry,winged seed,2.665e-4,wind,NA,wind,NA,NA,NA,NA,NA,NZPCN,dispersal by wind and people (NZPCN),NA,NA,NA,2022-06-08T00:00:00Z,45048,2022-06-21T00:00:00Z,1,1,0
